factor,freq,category,description
hf_15min_to_D_last_high,D,auto_panel,auto passthrough: hf_15min_to_D_last_high
hf_15min_to_D_last_last30_momentum,D,auto_panel,auto passthrough: hf_15min_to_D_last_last30_momentum
hf_15min_to_D_last_low,D,auto_panel,auto passthrough: hf_15min_to_D_last_low
hf_15min_to_D_last_ma_gap_12,D,auto_panel,auto passthrough: hf_15min_to_D_last_ma_gap_12
hf_15min_to_D_last_ma_gap_6,D,auto_panel,auto passthrough: hf_15min_to_D_last_ma_gap_6
hf_15min_to_D_last_morning_momentum_30m,D,auto_panel,auto passthrough: hf_15min_to_D_last_morning_momentum_30m
hf_15min_to_D_last_open,D,auto_panel,auto passthrough: hf_15min_to_D_last_open
hf_15min_to_D_last_range_norm,D,auto_panel,auto passthrough: hf_15min_to_D_last_range_norm
hf_15min_to_D_last_realized_vol_20,D,auto_panel,auto passthrough: hf_15min_to_D_last_realized_vol_20
hf_15min_to_D_last_ret_1,D,auto_panel,auto passthrough: hf_15min_to_D_last_ret_1
hf_15min_to_D_last_ret_12,D,auto_panel,auto passthrough: hf_15min_to_D_last_ret_12
hf_15min_to_D_last_ret_1d,D,auto_panel,auto passthrough: hf_15min_to_D_last_ret_1d
hf_15min_to_D_last_ret_20d,D,auto_panel,auto passthrough: hf_15min_to_D_last_ret_20d
hf_15min_to_D_last_ret_3,D,auto_panel,auto passthrough: hf_15min_to_D_last_ret_3
hf_15min_to_D_last_ret_5d,D,auto_panel,auto passthrough: hf_15min_to_D_last_ret_5d
hf_15min_to_D_last_ret_6,D,auto_panel,auto passthrough: hf_15min_to_D_last_ret_6
hf_15min_to_D_last_ret_vol_corr_20,D,auto_panel,auto passthrough: hf_15min_to_D_last_ret_vol_corr_20
hf_15min_to_D_last_rv_12,D,auto_panel,auto passthrough: hf_15min_to_D_last_rv_12
hf_15min_to_D_last_vol_chg_1,D,auto_panel,auto passthrough: hf_15min_to_D_last_vol_chg_1
hf_15min_to_D_last_volume,D,auto_panel,auto passthrough: hf_15min_to_D_last_volume
hf_15min_to_D_mean_amihud_20,D,auto_panel,auto passthrough: hf_15min_to_D_mean_amihud_20
hf_15min_to_D_mean_amount,D,auto_panel,auto passthrough: hf_15min_to_D_mean_amount
hf_15min_to_D_mean_amount_ratio_12,D,auto_panel,auto passthrough: hf_15min_to_D_mean_amount_ratio_12
hf_15min_to_D_mean_close,D,auto_panel,auto passthrough: hf_15min_to_D_mean_close
hf_15min_to_D_mean_close_to_vwap_day,D,auto_panel,auto passthrough: hf_15min_to_D_mean_close_to_vwap_day
hf_15min_to_D_mean_crowding_proxy_raw,D,auto_panel,auto passthrough: hf_15min_to_D_mean_crowding_proxy_raw
hf_15min_to_D_mean_high,D,auto_panel,auto passthrough: hf_15min_to_D_mean_high
hf_15min_to_D_mean_last30_momentum,D,auto_panel,auto passthrough: hf_15min_to_D_mean_last30_momentum
hf_15min_to_D_mean_low,D,auto_panel,auto passthrough: hf_15min_to_D_mean_low
hf_15min_to_D_mean_ma_gap_12,D,auto_panel,auto passthrough: hf_15min_to_D_mean_ma_gap_12
hf_15min_to_D_mean_ma_gap_6,D,auto_panel,auto passthrough: hf_15min_to_D_mean_ma_gap_6
hf_15min_to_D_mean_morning_momentum_30m,D,auto_panel,auto passthrough: hf_15min_to_D_mean_morning_momentum_30m
hf_15min_to_D_mean_open,D,auto_panel,auto passthrough: hf_15min_to_D_mean_open
hf_15min_to_D_mean_range_norm,D,auto_panel,auto passthrough: hf_15min_to_D_mean_range_norm
hf_15min_to_D_mean_realized_vol_20,D,auto_panel,auto passthrough: hf_15min_to_D_mean_realized_vol_20
hf_15min_to_D_mean_ret_1,D,auto_panel,auto passthrough: hf_15min_to_D_mean_ret_1
hf_15min_to_D_mean_ret_12,D,auto_panel,auto passthrough: hf_15min_to_D_mean_ret_12
hf_15min_to_D_mean_ret_1d,D,auto_panel,auto passthrough: hf_15min_to_D_mean_ret_1d
hf_15min_to_D_mean_ret_20d,D,auto_panel,auto passthrough: hf_15min_to_D_mean_ret_20d
hf_15min_to_D_mean_ret_3,D,auto_panel,auto passthrough: hf_15min_to_D_mean_ret_3
hf_15min_to_D_mean_ret_5d,D,auto_panel,auto passthrough: hf_15min_to_D_mean_ret_5d
hf_15min_to_D_mean_ret_6,D,auto_panel,auto passthrough: hf_15min_to_D_mean_ret_6
hf_15min_to_D_mean_ret_vol_corr_20,D,auto_panel,auto passthrough: hf_15min_to_D_mean_ret_vol_corr_20
hf_15min_to_D_mean_rv_12,D,auto_panel,auto passthrough: hf_15min_to_D_mean_rv_12
hf_15min_to_D_mean_vol_chg_1,D,auto_panel,auto passthrough: hf_15min_to_D_mean_vol_chg_1
hf_15min_to_D_mean_volume,D,auto_panel,auto passthrough: hf_15min_to_D_mean_volume
hf_15min_to_D_std_amihud_20,D,auto_panel,auto passthrough: hf_15min_to_D_std_amihud_20
hf_15min_to_D_std_amount,D,auto_panel,auto passthrough: hf_15min_to_D_std_amount
hf_15min_to_D_std_amount_ratio_12,D,auto_panel,auto passthrough: hf_15min_to_D_std_amount_ratio_12
hf_15min_to_D_std_close,D,auto_panel,auto passthrough: hf_15min_to_D_std_close
hf_15min_to_D_std_close_to_vwap_day,D,auto_panel,auto passthrough: hf_15min_to_D_std_close_to_vwap_day
hf_15min_to_D_std_crowding_proxy_raw,D,auto_panel,auto passthrough: hf_15min_to_D_std_crowding_proxy_raw
hf_15min_to_D_std_high,D,auto_panel,auto passthrough: hf_15min_to_D_std_high
hf_15min_to_D_std_last30_momentum,D,auto_panel,auto passthrough: hf_15min_to_D_std_last30_momentum
hf_15min_to_D_std_low,D,auto_panel,auto passthrough: hf_15min_to_D_std_low
hf_15min_to_D_std_ma_gap_12,D,auto_panel,auto passthrough: hf_15min_to_D_std_ma_gap_12
hf_15min_to_D_std_ma_gap_6,D,auto_panel,auto passthrough: hf_15min_to_D_std_ma_gap_6
hf_15min_to_D_std_morning_momentum_30m,D,auto_panel,auto passthrough: hf_15min_to_D_std_morning_momentum_30m
hf_15min_to_D_std_open,D,auto_panel,auto passthrough: hf_15min_to_D_std_open
hf_15min_to_D_std_range_norm,D,auto_panel,auto passthrough: hf_15min_to_D_std_range_norm
hf_15min_to_D_std_realized_vol_20,D,auto_panel,auto passthrough: hf_15min_to_D_std_realized_vol_20
hf_15min_to_D_std_ret_1,D,auto_panel,auto passthrough: hf_15min_to_D_std_ret_1
hf_15min_to_D_std_ret_12,D,auto_panel,auto passthrough: hf_15min_to_D_std_ret_12
hf_15min_to_D_std_ret_1d,D,auto_panel,auto passthrough: hf_15min_to_D_std_ret_1d
hf_15min_to_D_std_ret_20d,D,auto_panel,auto passthrough: hf_15min_to_D_std_ret_20d
hf_15min_to_D_std_ret_3,D,auto_panel,auto passthrough: hf_15min_to_D_std_ret_3
hf_15min_to_D_std_ret_5d,D,auto_panel,auto passthrough: hf_15min_to_D_std_ret_5d
hf_15min_to_D_std_ret_6,D,auto_panel,auto passthrough: hf_15min_to_D_std_ret_6
hf_15min_to_D_std_ret_vol_corr_20,D,auto_panel,auto passthrough: hf_15min_to_D_std_ret_vol_corr_20
hf_15min_to_D_std_rv_12,D,auto_panel,auto passthrough: hf_15min_to_D_std_rv_12
hf_15min_to_D_std_vol_chg_1,D,auto_panel,auto passthrough: hf_15min_to_D_std_vol_chg_1
hf_15min_to_D_std_volume,D,auto_panel,auto passthrough: hf_15min_to_D_std_volume
hf_30min_to_D_last_amihud_20,D,auto_panel,auto passthrough: hf_30min_to_D_last_amihud_20
hf_30min_to_D_last_amount,D,auto_panel,auto passthrough: hf_30min_to_D_last_amount
hf_30min_to_D_last_amount_ratio_12,D,auto_panel,auto passthrough: hf_30min_to_D_last_amount_ratio_12
hf_30min_to_D_last_close,D,auto_panel,auto passthrough: hf_30min_to_D_last_close
hf_30min_to_D_last_close_to_vwap_day,D,auto_panel,auto passthrough: hf_30min_to_D_last_close_to_vwap_day
hf_30min_to_D_last_crowding_proxy_raw,D,auto_panel,auto passthrough: hf_30min_to_D_last_crowding_proxy_raw
hf_30min_to_D_last_high,D,auto_panel,auto passthrough: hf_30min_to_D_last_high
hf_30min_to_D_last_last30_momentum,D,auto_panel,auto passthrough: hf_30min_to_D_last_last30_momentum
hf_30min_to_D_last_low,D,auto_panel,auto passthrough: hf_30min_to_D_last_low
hf_30min_to_D_last_ma_gap_12,D,auto_panel,auto passthrough: hf_30min_to_D_last_ma_gap_12
hf_30min_to_D_last_ma_gap_6,D,auto_panel,auto passthrough: hf_30min_to_D_last_ma_gap_6
hf_30min_to_D_last_morning_momentum_30m,D,auto_panel,auto passthrough: hf_30min_to_D_last_morning_momentum_30m
hf_30min_to_D_last_open,D,auto_panel,auto passthrough: hf_30min_to_D_last_open
hf_30min_to_D_last_range_norm,D,auto_panel,auto passthrough: hf_30min_to_D_last_range_norm
hf_30min_to_D_last_realized_vol_20,D,auto_panel,auto passthrough: hf_30min_to_D_last_realized_vol_20
hf_30min_to_D_last_ret_1,D,auto_panel,auto passthrough: hf_30min_to_D_last_ret_1
hf_30min_to_D_last_ret_12,D,auto_panel,auto passthrough: hf_30min_to_D_last_ret_12
hf_30min_to_D_last_ret_1d,D,auto_panel,auto passthrough: hf_30min_to_D_last_ret_1d
hf_30min_to_D_last_ret_20d,D,auto_panel,auto passthrough: hf_30min_to_D_last_ret_20d
hf_30min_to_D_last_ret_3,D,auto_panel,auto passthrough: hf_30min_to_D_last_ret_3
hf_30min_to_D_last_ret_5d,D,auto_panel,auto passthrough: hf_30min_to_D_last_ret_5d
hf_30min_to_D_last_ret_6,D,auto_panel,auto passthrough: hf_30min_to_D_last_ret_6
hf_30min_to_D_last_ret_vol_corr_20,D,auto_panel,auto passthrough: hf_30min_to_D_last_ret_vol_corr_20
hf_30min_to_D_last_rv_12,D,auto_panel,auto passthrough: hf_30min_to_D_last_rv_12
hf_30min_to_D_last_vol_chg_1,D,auto_panel,auto passthrough: hf_30min_to_D_last_vol_chg_1
hf_30min_to_D_last_volume,D,auto_panel,auto passthrough: hf_30min_to_D_last_volume
hf_30min_to_D_mean_amihud_20,D,auto_panel,auto passthrough: hf_30min_to_D_mean_amihud_20
hf_30min_to_D_mean_amount,D,auto_panel,auto passthrough: hf_30min_to_D_mean_amount
hf_30min_to_D_mean_amount_ratio_12,D,auto_panel,auto passthrough: hf_30min_to_D_mean_amount_ratio_12
hf_30min_to_D_mean_close,D,auto_panel,auto passthrough: hf_30min_to_D_mean_close
hf_30min_to_D_mean_close_to_vwap_day,D,auto_panel,auto passthrough: hf_30min_to_D_mean_close_to_vwap_day
hf_30min_to_D_mean_crowding_proxy_raw,D,auto_panel,auto passthrough: hf_30min_to_D_mean_crowding_proxy_raw
hf_30min_to_D_mean_high,D,auto_panel,auto passthrough: hf_30min_to_D_mean_high
hf_30min_to_D_mean_last30_momentum,D,auto_panel,auto passthrough: hf_30min_to_D_mean_last30_momentum
hf_30min_to_D_mean_low,D,auto_panel,auto passthrough: hf_30min_to_D_mean_low
hf_30min_to_D_mean_ma_gap_12,D,auto_panel,auto passthrough: hf_30min_to_D_mean_ma_gap_12
hf_30min_to_D_mean_ma_gap_6,D,auto_panel,auto passthrough: hf_30min_to_D_mean_ma_gap_6
hf_30min_to_D_mean_morning_momentum_30m,D,auto_panel,auto passthrough: hf_30min_to_D_mean_morning_momentum_30m
hf_30min_to_D_mean_open,D,auto_panel,auto passthrough: hf_30min_to_D_mean_open
hf_30min_to_D_mean_range_norm,D,auto_panel,auto passthrough: hf_30min_to_D_mean_range_norm
hf_30min_to_D_mean_realized_vol_20,D,auto_panel,auto passthrough: hf_30min_to_D_mean_realized_vol_20
hf_30min_to_D_mean_ret_1,D,auto_panel,auto passthrough: hf_30min_to_D_mean_ret_1
hf_30min_to_D_mean_ret_12,D,auto_panel,auto passthrough: hf_30min_to_D_mean_ret_12
hf_30min_to_D_mean_ret_1d,D,auto_panel,auto passthrough: hf_30min_to_D_mean_ret_1d
hf_30min_to_D_mean_ret_20d,D,auto_panel,auto passthrough: hf_30min_to_D_mean_ret_20d
hf_30min_to_D_mean_ret_3,D,auto_panel,auto passthrough: hf_30min_to_D_mean_ret_3
hf_30min_to_D_mean_ret_5d,D,auto_panel,auto passthrough: hf_30min_to_D_mean_ret_5d
hf_30min_to_D_mean_ret_6,D,auto_panel,auto passthrough: hf_30min_to_D_mean_ret_6
hf_30min_to_D_mean_ret_vol_corr_20,D,auto_panel,auto passthrough: hf_30min_to_D_mean_ret_vol_corr_20
hf_30min_to_D_mean_rv_12,D,auto_panel,auto passthrough: hf_30min_to_D_mean_rv_12
hf_30min_to_D_mean_vol_chg_1,D,auto_panel,auto passthrough: hf_30min_to_D_mean_vol_chg_1
hf_30min_to_D_mean_volume,D,auto_panel,auto passthrough: hf_30min_to_D_mean_volume
hf_30min_to_D_std_amihud_20,D,auto_panel,auto passthrough: hf_30min_to_D_std_amihud_20
hf_30min_to_D_std_amount,D,auto_panel,auto passthrough: hf_30min_to_D_std_amount
hf_30min_to_D_std_amount_ratio_12,D,auto_panel,auto passthrough: hf_30min_to_D_std_amount_ratio_12
hf_30min_to_D_std_close,D,auto_panel,auto passthrough: hf_30min_to_D_std_close
hf_30min_to_D_std_close_to_vwap_day,D,auto_panel,auto passthrough: hf_30min_to_D_std_close_to_vwap_day
hf_30min_to_D_std_crowding_proxy_raw,D,auto_panel,auto passthrough: hf_30min_to_D_std_crowding_proxy_raw
hf_30min_to_D_std_high,D,auto_panel,auto passthrough: hf_30min_to_D_std_high
hf_30min_to_D_std_last30_momentum,D,auto_panel,auto passthrough: hf_30min_to_D_std_last30_momentum
hf_30min_to_D_std_low,D,auto_panel,auto passthrough: hf_30min_to_D_std_low
hf_30min_to_D_std_ma_gap_12,D,auto_panel,auto passthrough: hf_30min_to_D_std_ma_gap_12
hf_30min_to_D_std_ma_gap_6,D,auto_panel,auto passthrough: hf_30min_to_D_std_ma_gap_6
hf_30min_to_D_std_morning_momentum_30m,D,auto_panel,auto passthrough: hf_30min_to_D_std_morning_momentum_30m
hf_30min_to_D_std_open,D,auto_panel,auto passthrough: hf_30min_to_D_std_open
hf_30min_to_D_std_range_norm,D,auto_panel,auto passthrough: hf_30min_to_D_std_range_norm
hf_30min_to_D_std_realized_vol_20,D,auto_panel,auto passthrough: hf_30min_to_D_std_realized_vol_20
hf_30min_to_D_std_ret_1,D,auto_panel,auto passthrough: hf_30min_to_D_std_ret_1
hf_30min_to_D_std_ret_12,D,auto_panel,auto passthrough: hf_30min_to_D_std_ret_12
hf_30min_to_D_std_ret_1d,D,auto_panel,auto passthrough: hf_30min_to_D_std_ret_1d
hf_30min_to_D_std_ret_20d,D,auto_panel,auto passthrough: hf_30min_to_D_std_ret_20d
hf_30min_to_D_std_ret_3,D,auto_panel,auto passthrough: hf_30min_to_D_std_ret_3
hf_30min_to_D_std_ret_5d,D,auto_panel,auto passthrough: hf_30min_to_D_std_ret_5d
hf_30min_to_D_std_ret_6,D,auto_panel,auto passthrough: hf_30min_to_D_std_ret_6
hf_30min_to_D_std_ret_vol_corr_20,D,auto_panel,auto passthrough: hf_30min_to_D_std_ret_vol_corr_20
hf_30min_to_D_std_rv_12,D,auto_panel,auto passthrough: hf_30min_to_D_std_rv_12
hf_30min_to_D_std_vol_chg_1,D,auto_panel,auto passthrough: hf_30min_to_D_std_vol_chg_1
hf_30min_to_D_std_volume,D,auto_panel,auto passthrough: hf_30min_to_D_std_volume
hf_5min_to_D_last_amihud_20,D,auto_panel,auto passthrough: hf_5min_to_D_last_amihud_20
hf_5min_to_D_last_amount,D,auto_panel,auto passthrough: hf_5min_to_D_last_amount
hf_5min_to_D_last_amount_ratio_12,D,auto_panel,auto passthrough: hf_5min_to_D_last_amount_ratio_12
hf_5min_to_D_last_close,D,auto_panel,auto passthrough: hf_5min_to_D_last_close
hf_5min_to_D_last_close_to_vwap_day,D,auto_panel,auto passthrough: hf_5min_to_D_last_close_to_vwap_day
hf_5min_to_D_last_crowding_proxy_raw,D,auto_panel,auto passthrough: hf_5min_to_D_last_crowding_proxy_raw
hf_5min_to_D_last_high,D,auto_panel,auto passthrough: hf_5min_to_D_last_high
hf_5min_to_D_last_last30_momentum,D,auto_panel,auto passthrough: hf_5min_to_D_last_last30_momentum
hf_5min_to_D_last_low,D,auto_panel,auto passthrough: hf_5min_to_D_last_low
hf_5min_to_D_last_ma_gap_12,D,auto_panel,auto passthrough: hf_5min_to_D_last_ma_gap_12
hf_5min_to_D_last_ma_gap_6,D,auto_panel,auto passthrough: hf_5min_to_D_last_ma_gap_6
hf_5min_to_D_last_morning_momentum_30m,D,auto_panel,auto passthrough: hf_5min_to_D_last_morning_momentum_30m
hf_5min_to_D_last_open,D,auto_panel,auto passthrough: hf_5min_to_D_last_open
hf_5min_to_D_last_range_norm,D,auto_panel,auto passthrough: hf_5min_to_D_last_range_norm
hf_5min_to_D_last_realized_vol_20,D,auto_panel,auto passthrough: hf_5min_to_D_last_realized_vol_20
hf_5min_to_D_last_ret_1,D,auto_panel,auto passthrough: hf_5min_to_D_last_ret_1
hf_5min_to_D_last_ret_12,D,auto_panel,auto passthrough: hf_5min_to_D_last_ret_12
hf_5min_to_D_last_ret_1d,D,auto_panel,auto passthrough: hf_5min_to_D_last_ret_1d
hf_5min_to_D_last_ret_20d,D,auto_panel,auto passthrough: hf_5min_to_D_last_ret_20d
